Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
64,St. Louis, Missouri,"302,838","319,294",−5.15%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",61.9 sq mi (160 km2),4.1 sq mi (11 km2),UTC−6 (CST),Lyda Krewson,"St. Louis is served by two passenger airports. St. Louis Lambert International Airport, owned and operated by the City of St. Louis, is 11 miles northwest of downtown along highway I-70 between I-170 and I-270 in St. Louis County. It is the largest and busiest airport in the state. In 2016, when the airport had more than 255 daily departures to about 90 domestic and international locations, it served more than 15 million passengers.[118] The airport serves as a focus hub city for Southwest Airlines; it was once a hub for Trans World Airlines and a focus-city for American Airlines and AmericanConnection.[118] The airport has two terminals with a total of five concourses. International flights and passengers use Terminal 2, whose lower level holds the Immigration and Customs gates. Passengers can move between the terminals on complimentary buses that run continuously, or via MetroLink for a fee. It was possible to walk between the terminals until Concourse D was closed in 2008.[119]
",http://stlouis-mo.gov,"The urban area of St. Louis has a damp subtropical climate (Köppen: Cfa); however, its metropolitan region even to the south may present a hot-summer humid continental climate (Dfa), which shows the effect of the urban heat island in the city. Without the presence of water bodies its winters may be colder than Boston, but its summers may be more similar to those of Lubbock, Texas than other areas to the east.[33] The city experiences hot, humid summers, and chilly to cold winters. It is subject to both cold Arctic air and hot, humid tropical air from the Gulf of Mexico. The average annual temperature recorded at nearby Lambert–St. Louis International Airport, is 57.1°F (13.9°C). Both 100 and 0°F (38 and −18°C) temperatures can be seen on an average 2 or 3 days per year.[34] Average annual precipitation is about 41.0 inches (1,040mm),[34] but annual precipitation has ranged from 20.59in (523mm) in 1953 to 61.24in (1,555mm) in 2015.[35]
",/wiki/St._Louis
65,Cincinnati, Ohio,"302,605","296,943",+1.91%,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",201.86 km2 (77.94 sq mi),4.14 km2 (1.60 sq mi),UTC−5 (EST),John Cranley,,http://cincinnati-oh.gov,"Cincinnati is at the southern limit of the humid continental climate zone (Köppen: Dfa).[96] Summers are warm to hot and humid, with significant rainfall in each month and highs reaching 90°F (32°C) or above on 21 days per year, often with high dew points and humidity. July is the warmest month, with a daily average temperature of 75.9°F (24.4°C).[97]
",/wiki/Cincinnati
66,Pittsburgh, Pennsylvania,"301,048","305,704",−1.52%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",55.38 sq mi (143.42 km2),2.97 sq mi (7.69 km2)  4.8%,UTC−5 (Eastern Standard Time),Bill Peduto,"Pittsburgh International Airport and Arnold Palmer Regional Airport provide commercial passenger service to the metropolitan area.
",http://www.pittsburghpa.gov/,"Pittsburgh lies in the humid continental climate zone (Köppen Dfa).[61] The city and river valleys lie in the USDA plant hardiness zone 6b while higher elevated areas lie in zone 6a.[62] The area has four distinct seasons: winters are cold, cloudy, and moderately snowy, springs and falls generally mild with moderate levels of sunshine, and summers warm and humid. As measured by percent possible sunshine, summer is by far the sunniest season.[63]
",/wiki/Pittsburgh
67,Greensboro, North Carolina,"294,722","269,666",+9.29%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,126.5 sq mi (327.7 km2),5.3 sq mi (13.7 km2),UTC−5 (EST),Nancy B. Vaughan,,http://www.greensboro-nc.gov,"Greensboro, like much of the southeastern United States, has a humid subtropical climate (Köppen Cfa), with four distinct seasons. Winters are short and generally cool, with a January daily average of 38.9°F (3.8°C). On average, there are 75nights per year that drop to or below freezing,[a] and 4.3days that fail to rise above freezing.[40][b] Measurable snowfall occurs nearly every winter, and accumulates to a normal of 7.5 inches (19.1cm), usually in January and February and occasionally December and March; the actual amount may vary considerably from winter to winter.[c] Cold-air damming (CAD) can facilitate  freezing rain, often making it a more pressing concern than snow. Summers are hot and humid, with a daily average in July of 78.5°F (25.8°C). There is an average 32days per year with highs at or above 90°F (32°C), but, as in much of the Piedmont South, 100°F (38°C)+ readings are uncommon.[40] Autumn is similar to spring in temperature but has fewer days of rainfall and less total rainfall. Extremes in temperature have ranged from −8°F (−22°C) on January 21, 1985, up to 104°F (40°C), on July 17, 1914.
","/wiki/Greensboro,_North_Carolina"
68,Anchorage, Alaska,"291,538","291,826",−0.10%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,"1,706.61 sq mi (4,420.09 km2)",256.00 sq mi (663.04 km2),UTC-9 (AKST),Ethan Berkowitz,,http://www.muni.org/,"Anchorage has a subarctic climate (the Köppen climate classification is Dfc) but with strong maritime influences that lead to a relatively moderate climate.[30] Most of its precipitation falls in late summer. Average daytime summer temperatures range from approximately 55 to 78°F (13 to 26°C); average daytime winter temperatures are about 5 to 30°F (−15.0 to −1.1°C). Anchorage has a frost-free growing season that averages slightly over 101 days. According to local folklore, when a native plant called fireweed goes to seed after a full bloom, the first snowfall of winter is 6 weeks away.[31]
","/wiki/Anchorage,_Alaska"
69,Plano, Texas,"288,061","259,841",+10.86%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",71.6 sq mi (185.5 km2),0.1 sq mi (0.2 km2),UTC−6 (CST),Harry LaRosiliere,,http://www.theretailconnection.net/uploaded/property/20080813114241164.pdf,"Plano is in the humid subtropical climate zone. The highest recorded temperature was 118°F (48°C) in 1936. On average, the coolest month is January and the warmest is July. The lowest recorded temperature was -7°F (-22°C) in 1930. The maximum average precipitation occurs in May.
","/wiki/Plano,_Texas"
70,Lincoln, Nebraska,"287,401","258,379",+11.23%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",92.913 sq mi (240.644 km2),1.354 sq mi (3.507 km2)  1.5%,UTC-6 (CST),Leirion Gaylor Baird,,http://www.lincoln.ne.gov/,"Located on the Great Plains far from the moderating influence of mountains or large bodies of water, Lincoln possesses a highly variable four-season humid continental climate (Köppen Dfa): winters are cold but relatively dry, summers are hot and occasionally humid.[84] With little precipitation falling during winter, precipitation is concentrated in the warmer months, when thunderstorms frequently roll in, often producing tornadoes. Snow averages 25.9 inches (66cm) per season but seasonal accumulation has ranged from 7.2in (18cm) in 1967–68 to 54.3in (138cm) in 1959–60.[85] Snow tends to fall in light amounts, though blizzards are possible. There is an average of 39 days with a snow depth of 1in (2.5cm) or more. The average window for freezing temperatures is October 5 thru April 25, allowing a growing season of 162 days.[85]
","/wiki/Lincoln,_Nebraska"
71,Orlando, Florida,"285,713","238,300",+19.90%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",272.51 km2 (105.22 sq mi),22.10 km2 (8.53 sq mi),UTC−5 (Eastern (EST)),Buddy Dyer,"Orlando, like other major cities, experiences gridlock and traffic jams daily, especially when commuting from the northern suburbs in Seminole County south to downtown and from the eastern suburbs of Orange County to Downtown. Heavy traffic is also common in the tourist district south of downtown. Rush hours (peak traffic hours) are usually weekday mornings (after 7am) and afternoons (after 4pm). There are various traffic advisory resources available for commuters including downloading the Tele-Traffic App (available for iPhone and Android), dialing 5-1-1 (a free automated traffic advisory system provided by the Florida Department of Transportation, available by dialing 511), visiting the Florida 511 Web site, listening to traffic reports on major radio stations, and reading electronic traffic advisory displays (also called Variable-message signs, information is also provided by FDOT) on the major highways and roadways.
",http://www.cityoforlando.net,"According to the Köppen climate classification Orlando has a humid subtropical climate like much of the deep southern United States. There are two basic seasons in Orlando, a hot and rainy season, lasting from May until late September (roughly coinciding with the Atlantic hurricane season), and a warm and dry season from October through April.[citation needed] The area's warm and humid climate is caused primarily by its low elevation, its position relatively close to the Tropic of Cancer, and its location in the center of a peninsula. Many characteristics of its climate are a result of its proximity to the Gulf Stream, which flows around the peninsula of Florida.
","/wiki/Orlando,_Florida"
72,Irvine, California,"282,572","212,375",+33.05%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",65.58 sq mi (169.86 km2),0.34 sq mi (0.89 km2)  0.52%,UTC−8 (Pacific),City council,,http://cityofirvine.org,"Late spring and early summer in Irvine is subject to the June Gloom phenomenon widespread in southern California, with overcast mornings and occasional drizzle.
Late summer and autumn are warm and mostly dry, with occasional bouts of humid weather extending from Pacific hurricanes off the west coast of Mexico.
Winters are mild, with most winters having no frost, and can be hot and dry when the Santa Ana winds blow. Precipitation in Irvine occurs predominantly during the winter months. Because Irvine is close to the coast, different parts of Irvine have different microclimates; for instance, the June Gloom effect is stronger in the southern parts of Irvine, closer to the Pacific Ocean.
","/wiki/Irvine,_California"
73,Newark, New Jersey,"282,090","277,140",+1.79%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",24.187 sq mi (62.644 km2),1.920 sq mi (4.973 km2)  7.35%,UTC−5 (Eastern (EST)),Ras Baraka,,http://newarknj.gov/,"Newark lies in the transition between a humid subtropical and humid continental climate (Köppen Cfa/Dfa), with cold, damp winters and hot, humid summers. The January daily mean is 31.6°F (−0.2°C),[64] and although temperatures below 10°F (−12°C) are to be expected in most years,[65] sub-0°F (−18°C) readings are rare; conversely, some days may warm up to 50°F (10°C). The average seasonal snowfall is 29.5 inches (75cm), though variations in weather patterns may bring sparse snowfall in some years and several major nor'easters in others, with the heaviest 24-hour fall of 25.9 inches (66cm) occurring on December 26, 1947.[64] Spring and autumn in the area are generally unstable yet mild. The July daily mean is 77.4°F (25.2°C), and highs exceed 90°F (32°C) on an average 27 days per year,[64] not factoring in the oft-higher heat index.
","/wiki/Newark,_New_Jersey"
